region,edu,sex,agest,lf_rate,lf_rate_goal
BE,e2,m,65,0.038855892,0.232167918
BE,e3,m,65,0.038855892,0.232167918
BE,e4,m,65,0.038855892,0.232167918
BE,e5,m,65,0.058944156,0.238247291
BE,e6,m,65,0.131161471,0.365426378
BE,e1,f,70,0.008221958,0.033372994
BE,e2,f,70,0.008221958,0.033372994
BE,e3,f,70,0.008221958,0.033372994
BE,e4,f,70,0.008221958,0.033372994
BE,e5,f,70,0.018156166,0.088630474
BE,e6,f,70,0.023825747,0.130024106
BE,e1,m,70,0.023396523,0.104846391
BE,e2,m,70,0.023396523,0.104846391
BE,e3,m,70,0.023396523,0.104846391
BE,e4,m,70,0.023396523,0.104846391
BE,e5,m,70,0.032978103,0.132394402
BE,e6,m,70,0.071417549,0.203497401
BG,e1,f,15,0.019187589,0.443404763
BG,e2,f,15,0.019187589,0.443404763
BG,e3,f,15,0.019187589,0.443404763
BG,e4,f,15,0.019187589,0.443404763
BG,e5,f,15,0.188491331,0.767092184
BG,e6,f,15,0.188491331,0.767092184
BG,e1,m,15,0.033834819,0.346183909
BG,e2,m,15,0.033834819,0.346183909
BG,e3,m,15,0.033834819,0.346183909
BG,e4,m,15,0.033834819,0.346183909
BG,e5,m,15,0.252586476,0.731528073
BG,e6,m,15,0.719406691,0.731528073
BG,e1,f,20,0.260952042,0.535710077
BG,e2,f,20,0.260952042,0.535710077
BG,e3,f,20,0.260952042,0.535710077
BG,e4,f,20,0.260952042,0.535710077
BG,e5,f,20,0.327127025,0.759692529
BG,e6,f,20,0.625899506,0.697649304
BG,e1,m,20,0.510710091,0.714002535
BG,e2,m,20,0.510710091,0.714002535
BG,e3,m,20,0.510710091,0.714002535
BG,e4,m,20,0.510710091,0.714002535
BG,e5,m,20,0.470581026,0.807033397
BG,e6,m,20,0.611863953,0.588001503
BG,e1,f,25,0.332523069,0.593883189
BG,e2,f,25,0.332523069,0.593883189
BG,e3,f,25,0.332523069,0.593883189
BG,e4,f,25,0.332523069,0.593883189
BG,e5,f,25,0.678426512,0.848603955
BG,e6,f,25,0.794060838,0.859228037
BG,e1,m,25,0.666687608,0.75950542
BG,e2,m,25,0.666687608,0.75950542
BG,e3,m,25,0.666687608,0.75950542
BG,e4,m,25,0.666687608,0.75950542
BG,e5,m,25,0.841184433,0.931559481
BG,e6,m,25,0.900391739,0.859743896
BG,e1,f,30,0.404713131,0.753691107
BG,e2,f,30,0.404713131,0.753691107
BG,e3,f,30,0.404713131,0.753691107
BG,e4,f,30,0.404713131,0.753691107
BG,e5,f,30,0.784037325,0.91503786
BG,e6,f,30,0.869434356,0.928284899
BG,e1,m,30,0.675784666,0.834653117
BG,e2,m,30,0.675784666,0.834653117
BG,e3,m,30,0.675784666,0.834653117
BG,e4,m,30,0.675784666,0.834653117
BG,e5,m,30,0.924087712,0.950109994
BG,e6,m,30,0.948806535,0.956820986
BG,e1,f,35,0.531627583,0.719896242
BG,e2,f,35,0.531627583,0.719896242
BG,e3,f,35,0.531627583,0.719896242
BG,e4,f,35,0.531627583,0.719896242
BG,e5,f,35,0.831037271,0.912983183
BG,e6,f,35,0.91178697,0.937351353
BG,e1,m,35,0.705670295,0.915884988
BG,e2,m,35,0.705670295,0.915884988
BG,e3,m,35,0.705670295,0.915884988
BG,e4,m,35,0.705670295,0.915884988
BG,e5,m,35,0.927105373,0.957969657
BG,e6,m,35,0.971791726,0.970538919
BG,e1,f,40,0.602148727,0.740746033
BG,e2,f,40,0.602148727,0.740746033
BG,e3,f,40,0.602148727,0.740746033
BG,e4,f,40,0.602148727,0.740746033
